user_input,intent
"Cancel my subscription, please.",cancellation
I forgot my password.,password_reset
Can you help me with my account?,account_help
I want to return my order.,return_request
What time do you open?,business_hours
I forgot my password.,password_reset
Where is my package?,order_status
I forgot my password.,password_reset
"Cancel my subscription, please.",cancellation
"Cancel my subscription, please.",cancellation
Where is my package?,order_status
Where is my package?,order_status
How can I update my payment method?,payment_update
How can I update my payment method?,payment_update
Tell me more about your services.,service_info
"Cancel my subscription, please.",cancellation
How can I update my payment method?,payment_update
I need technical support.,technical_support
What are your working hours?,business_hours
What are your working hours?,business_hours
What time do you open?,business_hours
I need technical support.,technical_support
I want to return my order.,return_request
What are your working hours?,business_hours
I forgot my password.,password_reset
I want to return my order.,return_request
What are your working hours?,business_hours
How can I update my payment method?,payment_update
How can I update my payment method?,payment_update
Can you help me with my account?,account_help
What time do you open?,business_hours
What are your working hours?,business_hours
"Cancel my subscription, please.",cancellation
I need technical support.,technical_support
How can I update my payment method?,payment_update
What time do you open?,business_hours
How can I update my payment method?,payment_update
I want to return my order.,return_request
Can you help me with my account?,account_help
"Cancel my subscription, please.",cancellation
Can you help me with my account?,account_help
Tell me more about your services.,service_info
What are your working hours?,business_hours
"Cancel my subscription, please.",cancellation
What time do you open?,business_hours
What are your working hours?,business_hours
How can I update my payment method?,payment_update
What are your working hours?,business_hours
Tell me more about your services.,service_info
What time do you open?,business_hours
I forgot my password.,password_reset
Tell me more about your services.,service_info
I need technical support.,technical_support
How can I update my payment method?,payment_update
How can I update my payment method?,payment_update
What are your working hours?,business_hours
How can I update my payment method?,payment_update
What time do you open?,business_hours
What time do you open?,business_hours
How can I update my payment method?,payment_update
Where is my package?,order_status
I need technical support.,technical_support
"Cancel my subscription, please.",cancellation
What time do you open?,business_hours
Can you help me with my account?,account_help
How can I update my payment method?,payment_update
What time do you open?,business_hours
Tell me more about your services.,service_info
Tell me more about your services.,service_info
Where is my package?,order_status
"Cancel my subscription, please.",cancellation
How can I update my payment method?,payment_update
I forgot my password.,password_reset
I need technical support.,technical_support
I forgot my password.,password_reset
I want to return my order.,return_request
"Cancel my subscription, please.",cancellation
Tell me more about your services.,service_info
I forgot my password.,password_reset
How can I update my payment method?,payment_update
I want to return my order.,return_request
Tell me more about your services.,service_info
"Cancel my subscription, please.",cancellation
What are your working hours?,business_hours
What time do you open?,business_hours
Tell me more about your services.,service_info
Where is my package?,order_status
I want to return my order.,return_request
Can you help me with my account?,account_help
Where is my package?,order_status
I want to return my order.,return_request
How can I update my payment method?,payment_update
"Cancel my subscription, please.",cancellation
Where is my package?,order_status
I forgot my password.,password_reset
Where is my package?,order_status
Where is my package?,order_status
How can I update my payment method?,payment_update
I want to return my order.,return_request
I forgot my password.,password_reset
What time do you open?,business_hours
What are your working hours?,business_hours
What time do you open?,business_hours
Can you help me with my account?,account_help
I want to return my order.,return_request
What are your working hours?,business_hours
"Cancel my subscription, please.",cancellation
How can I update my payment method?,payment_update
What time do you open?,business_hours
Tell me more about your services.,service_info
What time do you open?,business_hours
What time do you open?,business_hours
What time do you open?,business_hours
I forgot my password.,password_reset
I need technical support.,technical_support
I forgot my password.,password_reset
Where is my package?,order_status
I need technical support.,technical_support
Where is my package?,order_status
"Cancel my subscription, please.",cancellation
What time do you open?,business_hours
What time do you open?,business_hours
What are your working hours?,business_hours
I want to return my order.,return_request
"Cancel my subscription, please.",cancellation
Tell me more about your services.,service_info
Can you help me with my account?,account_help
How can I update my payment method?,payment_update
I want to return my order.,return_request
Where is my package?,order_status
I forgot my password.,password_reset
Can you help me with my account?,account_help
"Cancel my subscription, please.",cancellation
I need technical support.,technical_support
"Cancel my subscription, please.",cancellation
I want to return my order.,return_request
Where is my package?,order_status
Can you help me with my account?,account_help
I need technical support.,technical_support
"Cancel my subscription, please.",cancellation
I forgot my password.,password_reset
Can you help me with my account?,account_help
How can I update my payment method?,payment_update
"Cancel my subscription, please.",cancellation
What time do you open?,business_hours
I need technical support.,technical_support
I need technical support.,technical_support
Tell me more about your services.,service_info
How can I update my payment method?,payment_update
What are your working hours?,business_hours
Tell me more about your services.,service_info
"Cancel my subscription, please.",cancellation
I forgot my password.,password_reset
What are your working hours?,business_hours
What time do you open?,business_hours
What are your working hours?,business_hours
Where is my package?,order_status
I want to return my order.,return_request
I need technical support.,technical_support
What time do you open?,business_hours
What are your working hours?,business_hours
I need technical support.,technical_support
"Cancel my subscription, please.",cancellation
Where is my package?,order_status
What time do you open?,business_hours
How can I update my payment method?,payment_update
I forgot my password.,password_reset
I need technical support.,technical_support
Where is my package?,order_status
I forgot my password.,password_reset
I need technical support.,technical_support
What time do you open?,business_hours
"Cancel my subscription, please.",cancellation
I forgot my password.,password_reset
I forgot my password.,password_reset
I forgot my password.,password_reset
What time do you open?,business_hours
Tell me more about your services.,service_info
I want to return my order.,return_request
I forgot my password.,password_reset
What are your working hours?,business_hours
"Cancel my subscription, please.",cancellation
What time do you open?,business_hours
Tell me more about your services.,service_info
I want to return my order.,return_request
Tell me more about your services.,service_info
Where is my package?,order_status
What are your working hours?,business_hours
Can you help me with my account?,account_help
How can I update my payment method?,payment_update
What time do you open?,business_hours
What time do you open?,business_hours
Tell me more about your services.,service_info
How can I update my payment method?,payment_update
I need technical support.,technical_support
"Cancel my subscription, please.",cancellation
Can you help me with my account?,account_help
What are your working hours?,business_hours
Where is my package?,order_status
"Cancel my subscription, please.",cancellation
"Cancel my subscription, please.",cancellation
How can I update my payment method?,payment_update
"Cancel my subscription, please.",cancellation
I forgot my password.,password_reset
What time do you open?,business_hours
What time do you open?,business_hours
Where is my package?,order_status
"Cancel my subscription, please.",cancellation
What are your working hours?,business_hours
I forgot my password.,password_reset
Tell me more about your services.,service_info
Can you help me with my account?,account_help
What time do you open?,business_hours
I need technical support.,technical_support
How can I update my payment method?,payment_update
How can I update my payment method?,payment_update
Where is my package?,order_status
Where is my package?,order_status
